Country,,Country,Medal_Two_Prior,Event,Medal_One_Prior,Medal_Hosted,Medal_One_Next,Medal_Two_Next
France,74313144,France,No Medal,"Fencing Men's epee, Individual",Bronze,Silver,Silver,Silver
France,74313137,France,No Medal,Sailing Mixed 6.5 metres,Silver,No Medal,No Medal,No Medal
France,74313168,France,No Medal,Tennis Women's Doubles,Bronze,No Medal,No Medal,No Medal
France,74313149,France,No Medal,"Fencing Men's Foil, Individual",Silver,Gold,Gold,No Medal
France,74323908,France,No Medal,Weightlifting Men's Featherweight,No Medal,No Medal,No Medal,Gold
France,74313174,France,No Medal,Boxing Men's Heavyweight,Bronze,No Medal,No Medal,No Medal
France,74319267,France,No Medal,Gymnastics Men's Horizontal Bar,No Medal,Bronze,No Medal,No Medal
France,74319268,France,No Medal,"Equestrianism Men's Dressage, Individual",No Medal,Bronze,Silver,Silver
France,74313141,France,No Medal,"Fencing Men's epee, Individual",Silver,Silver,Gold,Silver
France,74313145,France,No Medal,"Fencing Men's epee, Individual",Bronze,Silver,Gold,Silver
France,74323913,France,No Medal,Athletics Men's Discus Throw,No Medal,No Medal,No Medal,Bronze
France,74313136,France,No Medal,"Shooting Men's Military Rifle, Prone, 300 metres",Silver,No Medal,No Medal,No Medal
France,74313135,France,No Medal,"Shooting Men's Military Rifle, Prone, 300 metres, Team",Silver,No Medal,No Medal,No Medal
France,74323550,France,No Medal,Athletics Men's Marathon,No Medal,No Medal,Gold,No Medal
France,7146,France,Gold,Tennis Women's Singles,Gold,Silver,No Medal,No Medal
France,74313142,France,No Medal,"Fencing Men's epee, Individual",Gold,Silver,Silver,Silver
Germany,7530,Germany,Gold,"Fencing Women's Foil, Individual",No Medal,Silver,No Medal,No Medal
Germany,74170924,Germany,No Medal,Athletics Women's Pentathlon,Gold,Silver,Gold,No Medal
Germany,74317841,Germany,No Medal,Athletics Women's 4 x 400 metres Relay,No Medal,Bronze,Gold,Silver
Germany,74317570,Germany,No Medal,Swimming Women's 100 metres Butterfly,No Medal,Silver,Gold,Silver
Germany,7557,Germany,Gold,Athletics Women's 800 metres,No Medal,Gold,Bronze,No Medal
Germany,7613,Germany,Bronze,"Equestrianism Men's Three-Day Event, Individual",No Medal,Gold,Bronze,Silver
Germany,74170262,Germany,No Medal,"Equestrianism Mixed Dressage, Individual",Bronze,Gold,Bronze,Bronze
Germany,74318199,Germany,No Medal,Boxing Men's Heavyweight,No Medal,Bronze,No Medal,Bronze
Germany,74313306,Germany,No Medal,Athletics Women's Javelin Throw,Bronze,Silver,Gold,Bronze
Germany,74170763,Germany,No Medal,Rowing Men's Coxed Eights,Gold,Bronze,Gold,Gold
Germany,74169779,Germany,No Medal,Swimming Women's 200 metres Butterfly,Silver,No Medal,Bronze,Silver
Germany,74313514,Germany,No Medal,Alpinism Mixed Alpinism,Gold,No Medal,No Medal,No Medal
Germany,74170036,Germany,No Medal,Rowing Men's Coxed Fours,Gold,Gold,Silver,Gold
Germany,7633,Germany,Bronze,"Cycling Men's Tandem Sprint, 2,000 metres",No Medal,Silver,No Medal,No Medal
Germany,74171129,Germany,No Medal,"Equestrianism Mixed Jumping, Team",Bronze,Gold,Silver,Gold
Germany,74323265,Germany,No Medal,Swimming Women's 100 metres Backstroke,No Medal,No Medal,Silver,Bronze
Germany,7653,Germany,Bronze,Athletics Women's 4 x 100 metres Relay,No Medal,Gold,Silver,Gold
Germany,74169859,Germany,No Medal,Rowing Men's Single Sculls,Silver,Gold,Silver,Bronze
Germany,74170160,Germany,No Medal,Gymnastics Women's Horse Vault,Silver,Gold,Silver,Silver
Germany,74317628,Germany,No Medal,Athletics Women's 400 metres,No Medal,Gold,Silver,Bronze
Germany,74317722,Germany,No Medal,Rowing Men's Coxed Pairs,No Medal,Gold,Silver,Gold
Germany,74319298,Germany,No Medal,Gymnastics Men's Horizontal Bar,No Medal,Bronze,Silver,No Medal
Germany,74323355,Germany,No Medal,Rowing Women's Coxed Eights,No Medal,No Medal,Gold,Gold
Germany,74313412,Germany,No Medal,Athletics Women's Javelin Throw,Silver,Gold,Silver,Bronze
Germany,74170265,Germany,No Medal,"Equestrianism Mixed Dressage, Individual",Bronze,Gold,Bronze,Bronze
Germany,74319442,Germany,No Medal,Swimming Women's 100 metres Freestyle,No Medal,Bronze,Silver,Bronze
Germany,74318059,Germany,No Medal,Athletics Men's Javelin Throw,No Medal,Gold,No Medal,Bronze
Germany,74169945,Germany,No Medal,Rowing Men's Coxed Fours,Silver,Gold,Bronze,Gold
Germany,7571,Germany,Bronze,"Art Competitions Mixed Architecture, Designs For Town Planning",No Medal,Gold,No Medal,No Medal
Germany,74323391,Germany,No Medal,"Athletics Men's 5,000 metres",No Medal,No Medal,Bronze,No Medal
Germany,7584,Germany,Bronze,"Wrestling Men's Heavyweight, Greco-Roman",No Medal,Bronze,No Medal,Silver
Germany,74313267,Germany,No Medal,Athletics Women's Javelin Throw,Silver,Gold,Gold,Bronze
Germany,74170364,Germany,No Medal,Athletics Women's Shot Put,Silver,Silver,Silver,Bronze
Germany,7217,Germany,Silver,Athletics Men's 4 x 400 metres Relay,Bronze,Bronze,Bronze,Silver
Germany,74169745,Germany,No Medal,Swimming Women's 4 x 100 metres Freestyle Relay,Silver,Silver,Silver,Gold
Germany,74319339,Germany,No Medal,Gymnastics Men's Pommelled Horse,No Medal,Gold,Bronze,Bronze
Germany,7683,Germany,Bronze,Athletics Women's 4 x 100 metres Relay,No Medal,Gold,Silver,Gold
Germany,74317820,Germany,No Medal,Athletics Women's High Jump,No Medal,Gold,Gold,Bronze
Germany,74313226,Germany,No Medal,Boxing Men's Featherweight,Silver,Bronze,Silver,Gold
Germany,7752,Germany,Bronze,Athletics Men's Shot Put,No Medal,Gold,Gold,Bronze
Germany,74317891,Germany,No Medal,Athletics Women's 200 metres,No Medal,Gold,Bronze,Silver
Germany,74317547,Germany,No Medal,Swimming Women's 100 metres Butterfly,No Medal,Silver,Gold,Gold
Great Britain,74319742,Great Britain,No Medal,Cycling Men's 100 kilometres,No Medal,Silver,No Medal,No Medal
Great Britain,74319590,Great Britain,No Medal,"Tennis Men's Singles, Covered Courts",No Medal,Silver,Silver,No Medal
Great Britain,74319588,Great Britain,No Medal,"Tennis Men's Singles, Covered Courts",No Medal,Bronze,Silver,No Medal
Great Britain,74319887,Great Britain,No Medal,Rowing Men's Coxed Eights,No Medal,Silver,Silver,Silver
Great Britain,74319519,Great Britain,No Medal,"Wrestling Men's Bantamweight, Freestyle",No Medal,Silver,No Medal,No Medal
Great Britain,74313574,Great Britain,No Medal,Cycling Men's Sprint,Silver,Gold,No Medal,Silver
Great Britain,74319504,Great Britain,No Medal,"Wrestling Men's Lightweight, Freestyle",No Medal,Silver,No Medal,Bronze
Great Britain,8109,Great Britain,Bronze,Swimming Women's 4 x 100 metres Freestyle Relay,No Medal,No Medal,Gold,Silver
Great Britain,74319682,Great Britain,No Medal,Racquets Men's Singles,No Medal,Gold,No Medal,No Medal
Great Britain,74313633,Great Britain,No Medal,Cycling Men's 20 kilometres,Gold,Gold,No Medal,No Medal
Great Britain,74319944,Great Britain,No Medal,Shooting Men's Trap,No Medal,Bronze,No Medal,No Medal
Great Britain,8198,Great Britain,Bronze,Athletics Women's 4 x 100 metres Relay,Silver,No Medal,Bronze,Silver
Great Britain,74319814,Great Britain,No Medal,Archery Women's Double National Round,No Medal,Gold,No Medal,No Medal
Great Britain,74313644,Great Britain,No Medal,Athletics Men's 5 mile,Gold,Silver,No Medal,No Medal
Great Britain,7935,Great Britain,Silver,"Athletics Men's 1,500 metres",Silver,Bronze,Gold,Silver
Great Britain,8072,Great Britain,Gold,Rowing Men's Coxless Fours,Silver,Gold,No Medal,No Medal
Great Britain,8036,Great Britain,Silver,"Athletics Men's 1,500 metres",Silver,Bronze,Gold,Gold
Great Britain,7868,Great Britain,Silver,"Cycling Men's Tandem Sprint, 2,000 metres",Gold,Bronze,No Medal,Gold
Great Britain,74319929,Great Britain,No Medal,Boxing Men's Middleweight,No Medal,Gold,No Medal,Gold
Great Britain,74319599,Great Britain,No Medal,"Tennis Men's Doubles, Covered Courts",No Medal,Gold,Bronze,No Medal
Great Britain,74319942,Great Britain,No Medal,Swimming Men's 100 metres Backstroke,No Medal,Bronze,No Medal,No Medal
Great Britain,74319712,Great Britain,No Medal,Hockey Men's Hockey,No Medal,Silver,Bronze,Gold
Great Britain,8169,Great Britain,Bronze,"Cycling Men's Team Pursuit, 4,000 metres",Bronze,Bronze,Bronze,Silver
Great Britain,74313553,Great Britain,No Medal,"Fencing Men's epee, Team",Silver,Silver,Silver,No Medal
Great Britain,74313527,Great Britain,No Medal,Swimming Men's 400 metres Freestyle,Silver,Gold,Silver,No Medal
Great Britain,74319734,Great Britain,No Medal,Figure Skating Mixed Pairs,No Medal,Silver,No Medal,Bronze
Great Britain,74319959,Great Britain,No Medal,"Cycling Men's Road Race, Team",No Medal,Silver,Silver,Silver
Great Britain,74319673,Great Britain,No Medal,Rowing Men's Single Sculls,No Medal,Silver,Gold,Silver
Great Britain,74319690,Great Britain,No Medal,Lacrosse Men's Lacrosse,No Medal,Silver,No Medal,No Medal
Great Britain,74313632,Great Britain,No Medal,Cycling Men's 20 kilometres,Gold,Silver,No Medal,No Medal
Great Britain,74319702,Great Britain,No Medal,Hockey Men's Hockey,No Medal,Gold,Bronze,Gold
Great Britain,74319990,Great Britain,No Medal,"Art Competitions Mixed Sculpturing, Reliefs",No Medal,Bronze,No Medal,No Medal
Great Britain,74319795,Great Britain,No Medal,Athletics Men's Shot Put,No Medal,Silver,No Medal,No Medal
Great Britain,74319628,Great Britain,No Medal,"Shooting Men's Small-Bore Rifle, Prone, 50 and 100 yards",No Medal,Silver,No Medal,No Medal
Great Britain,7987,Great Britain,Silver,"Athletics Men's 1,500 metres",Silver,Bronze,Gold,Silver
Great Britain,74313621,Great Britain,No Medal,"Shooting Men's Trap, Single Shot, 16 metres",Bronze,No Medal,No Medal,No Medal
Great Britain,8201,Great Britain,Bronze,Athletics Women's 4 x 100 metres Relay,Silver,No Medal,Bronze,Silver
Great Britain,8042,Great Britain,Silver,"Athletics Men's 1,500 metres",Silver,Silver,Gold,Gold
Great Britain,74323598,Great Britain,No Medal,Gymnastics Men's Team All-Around,No Medal,No Medal,Bronze,No Medal
Great Britain,8077,Great Britain,Gold,Rowing Men's Coxless Fours,Silver,Silver,No Medal,No Medal
Great Britain,74319918,Great Britain,No Medal,Motorboating Mixed C-Class,No Medal,Gold,No Medal,No Medal
Great Britain,74323928,Great Britain,No Medal,Art Competitions Mixed Literature,No Medal,No Medal,No Medal,Silver
Greece,8497,Greece,Bronze,"Shooting Men's Free Pistol, 30 metres",No Medal,No Medal,No Medal,No Medal
Greece,8412,Greece,Bronze,Gymnastics Men's Rings,Silver,Gold,No Medal,No Medal
Greece,74318215,Greece,No Medal,Taekwondo Men's Heavyweight,No Medal,Silver,Silver,No Medal
Greece,8292,Greece,Gold,Gymnastics Men's Rope Climbing,No Medal,Bronze,No Medal,No Medal
Greece,8287,Greece,Silver,Gymnastics Men's Rope Climbing,No Medal,Gold,No Medal,No Medal
Greece,8434,Greece,Bronze,Gymnastics Men's Rings,Silver,Gold,No Medal,No Medal
Greece,8240,Greece,Silver,Swimming Men's 100 metres Freestyle For Sailors,No Medal,No Medal,No Medal,No Medal
Greece,74171219,Greece,No Medal,Taekwondo Men's Flyweight,Gold,No Medal,No Medal,No Medal
Greece,74171210,Greece,No Medal,Weightlifting Men's Light-Heavyweight,Gold,Bronze,No Medal,No Medal
Greece,8465,Greece,Bronze,"Weightlifting Men's Unlimited, Two Hands",Gold,Gold,No Medal,No Medal
Greece,8216,Greece,Bronze,"Wrestling Men's Unlimited Class, Greco-Roman",No Medal,No Medal,No Medal,No Medal
Greece,8335,Greece,Silver,Cycling Men's 100 kilometres,No Medal,No Medal,No Medal,No Medal
Greece,8324,Greece,Gold,"Fencing Men's Sabre, Individual",No Medal,Gold,No Medal,No Medal
Greece,8332,Greece,Silver,Cycling Men's 333 metres Time Trial,No Medal,No Medal,No Medal,No Medal
Greece,74323649,Greece,No Medal,"Athletics Men's Javelin Throw, Freestyle",No Medal,No Medal,Silver,No Medal
Greece,74323652,Greece,No Medal,Shooting Men's Trap,No Medal,No Medal,Bronze,No Medal
Greece,8232,Greece,Silver,Tennis Men's Doubles,No Medal,Silver,No Medal,No Medal
Greece,8379,Greece,Bronze,Athletics Men's Discus Throw,Bronze,Silver,No Medal,No Medal
Greece,74318249,Greece,No Medal,"Wrestling Men's Featherweight, Greco-Roman",No Medal,Bronze,No Medal,No Medal
Greece,8258,Greece,Silver,"Shooting Men's Military Rifle, 200 metres",No Medal,No Medal,No Medal,No Medal
Greece,74323634,Greece,No Medal,Athletics Men's Standing Long Jump,No Medal,No Medal,Silver,Gold
Greece,74171204,Greece,No Medal,Athletics Women's 100 metres,Silver,No Medal,No Medal,No Medal
Greece,8217,Greece,Silver,"Wrestling Men's Unlimited Class, Greco-Roman",No Medal,No Medal,No Medal,No Medal
Greece,74323642,Greece,No Medal,Athletics Men's Standing High Jump,No Medal,No Medal,Silver,Bronze
Greece,74318238,Greece,No Medal,Diving Men's Synchronized Springboard,No Medal,Gold,No Medal,No Medal
Greece,74171200,Greece,No Medal,Athletics Women's Discus Throw,Silver,Silver,No Medal,No Medal
Greece,8472,Greece,Bronze,"Weightlifting Men's Unlimited, Two Hands",Gold,Gold,No Medal,No Medal
Greece,8318,Greece,Gold,"Fencing Men's Sabre, Individual",No Medal,Gold,No Medal,No Medal
Greece,8507,Greece,Bronze,Athletics Men's Pole Vault,No Medal,No Medal,No Medal,No Medal
Greece,74318256,Greece,No Medal,Rowing Men's Lightweight Double Sculls,No Medal,Bronze,Silver,No Medal
Greece,8299,Greece,Silver,Gymnastics Men's Rope Climbing,No Medal,Gold,No Medal,No Medal
Greece,74320031,Greece,No Medal,Rowing Men's 17-Man Naval Rowing Boats,No Medal,Silver,No Medal,No Medal
Greece,8275,Greece,Silver,Gymnastics Men's Rope Climbing,No Medal,Gold,No Medal,No Medal
Greece,74320033,Greece,No Medal,Rowing Men's 17-Man Naval Rowing Boats,No Medal,Silver,No Medal,No Medal
Greece,8308,Greece,Gold,Gymnastics Men's Rope Climbing,No Medal,Bronze,No Medal,No Medal
Greece,8356,Greece,Silver,Athletics Men's Discus Throw,Bronze,Silver,No Medal,No Medal
Greece,74318245,Greece,No Medal,Athletics Women's 20 kilometres Walk,No Medal,Gold,No Medal,No Medal
Greece,74318253,Greece,No Medal,Rowing Men's Lightweight Double Sculls,No Medal,Bronze,Silver,No Medal
Greece,8264,Greece,Silver,"Shooting Men's Military Rifle, 200 metres",No Medal,No Medal,No Medal,No Medal
Greece,74323651,Greece,No Medal,"Athletics Men's Javelin Throw, Freestyle",No Medal,No Medal,Silver,No Medal
Greece,74171186,Greece,No Medal,Athletics Women's Javelin Throw,Silver,Bronze,No Medal,No Medal
Greece,8382,Greece,Bronze,Athletics Men's Discus Throw,Bronze,Silver,No Medal,No Medal
Italy,74171243,Italy,No Medal,"Fencing Men's Foil, Individual",Silver,No Medal,No Medal,No Medal
Italy,74318262,Italy,No Medal,Boxing Men's Lightweight,No Medal,Silver,No Medal,No Medal
Italy,74323400,Italy,No Medal,"Equestrianism Mixed Three-Day Event, Individual",No Medal,No Medal,Gold,No Medal
Italy,74171240,Italy,No Medal,"Fencing Men's epee, Individual",Silver,Gold,No Medal,Bronze
Italy,74171242,Italy,No Medal,"Fencing Men's epee, Individual",Bronze,Gold,No Medal,Bronze
Italy,74318267,Italy,No Medal,Boxing Men's Welterweight,No Medal,Gold,Bronze,No Medal
Italy,74318279,Italy,No Medal,Athletics Men's 50 kilometres Walk,No Medal,Bronze,Gold,No Medal
Italy,74318274,Italy,No Medal,"Fencing Women's Foil, Team",No Medal,Bronze,No Medal,No Medal
Italy,74171259,Italy,No Medal,Weightlifting Men's Middleweight,Bronze,No Medal,No Medal,No Medal
Italy,74318271,Italy,No Medal,Sailing Mixed Three Person Keelboat,No Medal,Bronze,No Medal,No Medal
Italy,74171236,Italy,No Medal,"Equestrianism Mixed Jumping, Individual",Bronze,Silver,No Medal,No Medal
Italy,74171257,Italy,No Medal,"Cycling Men's 1,000 metres Time Trial",Gold,Gold,Silver,No Medal
Italy,74318278,Italy,No Medal,Athletics Women's 100 metres,No Medal,Bronze,No Medal,No Medal
Italy,74323793,Italy,No Medal,Athletics Men's 110 metres Hurdles,No Medal,No Medal,No Medal,Bronze
Italy,74171250,Italy,No Medal,Shooting Men's Trap,Gold,Silver,Gold,No Medal
Italy,74171255,Italy,No Medal,"Cycling Men's Team Pursuit, 4,000 metres",Gold,Gold,Silver,Bronze
Italy,74171256,Italy,No Medal,"Cycling Men's Road Race, Individual",Gold,Silver,Gold,Gold
Italy,74171258,Italy,No Medal,"Wrestling Men's Heavyweight, Greco-Roman",Bronze,No Medal,No Medal,No Medal
Italy,74323791,Italy,No Medal,Sailing Mixed One Person Dinghy,No Medal,No Medal,No Medal,Bronze
Italy,74318264,Italy,No Medal,Boxing Men's Bantamweight,No Medal,Silver,No Medal,No Medal
Italy,74323789,Italy,No Medal,Diving Men's Springboard,No Medal,No Medal,No Medal,Silver
Italy,74171247,Italy,No Medal,Cycling Men's Sprint,Silver,Bronze,Silver,Silver
Italy,74171235,Italy,No Medal,"Equestrianism Mixed Jumping, Individual",Silver,Gold,No Medal,No Medal
Italy,74171252,Italy,No Medal,Rowing Men's Coxed Fours,Gold,Bronze,Silver,No Medal
Italy,74323402,Italy,No Medal,"Fencing Women's Foil, Individual",No Medal,No Medal,Bronze,No Medal
Italy,74318272,Italy,No Medal,Gymnastics Men's Team All-Around,No Medal,Bronze,No Medal,No Medal
Italy,74171261,Italy,No Medal,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze,Gold,Gold,No Medal
Italy,74171248,Italy,No Medal,Cycling Men's Sprint,Silver,Bronze,Gold,Silver
Italy,74318277,Italy,No Medal,Boxing Men's Light-Heavyweight,No Medal,Bronze,Gold,No Medal
Italy,74171246,Italy,No Medal,Cycling Men's Sprint,Silver,Gold,Gold,Silver
Italy,74318260,Italy,No Medal,Gymnastics Men's Parallel Bars,No Medal,Silver,Bronze,No Medal
Italy,74318265,Italy,No Medal,Water Polo Men's Water Polo,No Medal,Gold,No Medal,No Medal
Italy,74323788,Italy,No Medal,Shooting Mixed Skeet,No Medal,No Medal,No Medal,Silver
Italy,74171262,Italy,No Medal,Boxing Men's Heavyweight,Bronze,Gold,Bronze,Bronze
Italy,74323398,Italy,No Medal,"Cycling Men's Individual Pursuit, 4,000 metres",No Medal,No Medal,Silver,No Medal
Italy,74171237,Italy,No Medal,"Equestrianism Mixed Jumping, Individual",Bronze,Gold,No Medal,No Medal
Italy,74323396,Italy,No Medal,Gymnastics Men's Rings,No Medal,No Medal,Silver,No Medal
Italy,74171251,Italy,No Medal,Shooting Men's Trap,Bronze,Silver,Gold,No Medal
Italy,74171241,Italy,No Medal,"Fencing Men's epee, Individual",Gold,Gold,No Medal,Bronze
Italy,74171253,Italy,No Medal,"Fencing Men's epee, Team",Gold,Gold,Silver,No Medal
Italy,74323401,Italy,No Medal,Boxing Men's Flyweight,No Medal,No Medal,Gold,No Medal
Italy,74323404,Italy,No Medal,Athletics Men's 400 metres Hurdles,No Medal,No Medal,Bronze,No Medal
Japan,74318287,Japan,No Medal,Volleyball Women's Volleyball,No Medal,Gold,Silver,Silver
Japan,74171299,Japan,No Medal,Gymnastics Men's Floor Exercise,Gold,Silver,Bronze,Bronze
Japan,74323796,Japan,No Medal,Judo Men's Half-Middleweight,No Medal,No Medal,No Medal,Gold
Japan,74171298,Japan,No Medal,Gymnastics Men's Floor Exercise,Gold,Silver,Bronze,Silver
Japan,74171273,Japan,No Medal,Gymnastics Men's Individual All-Around,Silver,Silver,Bronze,Bronze
Japan,74171294,Japan,No Medal,Gymnastics Men's Floor Exercise,Gold,Silver,Silver,Silver
Japan,74171270,Japan,No Medal,Gymnastics Men's Individual All-Around,Silver,Silver,Gold,Bronze
Japan,74171266,Japan,No Medal,Swimming Men's 4 x 200 metres Freestyle Relay,Silver,Bronze,No Medal,No Medal
Japan,74171314,Japan,No Medal,Gymnastics Men's Parallel Bars,Bronze,Gold,Gold,Bronze
Japan,74171285,Japan,No Medal,Gymnastics Men's Horizontal Bar,Silver,No Medal,Bronze,Bronze
Japan,74318284,Japan,No Medal,"Wrestling Men's Bantamweight, Freestyle",No Medal,Gold,Gold,Gold
Japan,74171296,Japan,No Medal,Gymnastics Men's Floor Exercise,Gold,Silver,Gold,Silver
Japan,74318288,Japan,No Medal,Judo Men's Middleweight,No Medal,Gold,No Medal,Gold
Japan,74171272,Japan,No Medal,Gymnastics Men's Individual All-Around,Silver,Silver,Bronze,Gold
Japan,74171280,Japan,No Medal,Gymnastics Men's Horizontal Bar,Silver,No Medal,Gold,Silver
Japan,74171315,Japan,No Medal,Boxing Men's Flyweight,Bronze,No Medal,No Medal,No Medal
Japan,74318291,Japan,No Medal,Boxing Men's Bantamweight,No Medal,Gold,Bronze,No Medal
Japan,74171306,Japan,No Medal,Gymnastics Men's Rings,Bronze,Gold,Bronze,Bronze
Japan,74318293,Japan,No Medal,Weightlifting Men's Middleweight,No Medal,Bronze,Silver,No Medal
Japan,74171288,Japan,No Medal,Gymnastics Men's Horizontal Bar,Gold,No Medal,Gold,Bronze
Japan,74171313,Japan,No Medal,Gymnastics Men's Parallel Bars,Bronze,Gold,Gold,Gold
Japan,74171287,Japan,No Medal,Gymnastics Men's Horizontal Bar,Gold,No Medal,Gold,Gold
Japan,74318283,Japan,No Medal,"Wrestling Men's Bantamweight, Greco-Roman",No Medal,Gold,No Medal,No Medal
Japan,74171289,Japan,No Medal,Gymnastics Men's Horizontal Bar,Gold,No Medal,Bronze,Silver
Japan,74171301,Japan,No Medal,Swimming Men's 4 x 100 metres Medley Relay,Bronze,No Medal,No Medal,No Medal
Japan,74171268,Japan,No Medal,Gymnastics Men's Individual All-Around,Silver,Silver,Gold,Silver
Japan,74318294,Japan,No Medal,Volleyball Men's Volleyball,No Medal,Bronze,Silver,Gold
Japan,74323795,Japan,No Medal,Swimming Men's 100 metres Breaststroke,No Medal,No Medal,No Medal,Gold
Japan,74171277,Japan,No Medal,Gymnastics Men's Individual All-Around,Silver,Gold,Bronze,Silver
Japan,74171286,Japan,No Medal,Gymnastics Men's Horizontal Bar,Gold,No Medal,Gold,Silver
Japan,74171265,Japan,No Medal,Swimming Men's 400 metres Freestyle,Silver,No Medal,No Medal,No Medal
Japan,74171282,Japan,No Medal,Gymnastics Men's Horizontal Bar,Silver,No Medal,Gold,Bronze
Japan,74171291,Japan,No Medal,Gymnastics Men's Horizontal Bar,Gold,No Medal,Bronze,Bronze
Japan,74318281,Japan,No Medal,"Wrestling Men's Flyweight, Greco-Roman",No Medal,Gold,No Medal,Silver
Japan,74318285,Japan,No Medal,Weightlifting Men's Featherweight,No Medal,Gold,Gold,No Medal
Japan,74171278,Japan,No Medal,Gymnastics Men's Individual All-Around,Silver,Gold,Bronze,Gold
Japan,74318292,Japan,No Medal,"Wrestling Men's Lightweight, Freestyle",No Medal,Bronze,No Medal,Silver
Japan,74171276,Japan,No Medal,Gymnastics Men's Individual All-Around,Silver,Gold,Gold,Bronze
Japan,74171302,Japan,No Medal,"Shooting Men's Free Pistol, 50 metres",Bronze,Bronze,No Medal,No Medal
Japan,74171311,Japan,No Medal,Gymnastics Men's Parallel Bars,Bronze,Silver,Gold,Bronze
Japan,74323407,Japan,No Medal,Football Men's Football,No Medal,No Medal,Bronze,No Medal
Japan,74171292,Japan,No Medal,Gymnastics Men's Team All-Around,Gold,Gold,Gold,Gold
Netherlands,74323797,Netherlands,No Medal,"Equestrianism Men's Jumping, Team",No Medal,No Medal,No Medal,Silver
Netherlands,74171320,Netherlands,No Medal,"Equestrianism Men's Three-Day Event, Individual",Gold,Silver,Gold,No Medal
Netherlands,74323800,Netherlands,No Medal,"Canoeing Men's Kayak Doubles, 1,000 metres",No Medal,No Medal,No Medal,Bronze
Netherlands,74318311,Netherlands,No Medal,"Cycling Men's 1,000 metres Time Trial",No Medal,Silver,Silver,Gold
Netherlands,74323803,Netherlands,No Medal,Athletics Men's 100 metres,No Medal,No Medal,No Medal,Bronze
Netherlands,74171324,Netherlands,No Medal,Sailing Mixed 6 metres,Bronze,No Medal,No Medal,No Medal
Netherlands,74318319,Netherlands,No Medal,"Art Competitions Mixed Architecture, Architectural Designs",No Medal,Gold,No Medal,No Medal
Netherlands,74318316,Netherlands,No Medal,Gymnastics Women's Team All-Around,No Medal,Gold,No Medal,No Medal
Netherlands,74318322,Netherlands,No Medal,"Equestrianism Men's Dressage, Team",No Medal,Bronze,No Medal,No Medal
Netherlands,74323801,Netherlands,No Medal,"Canoeing Men's Folding Kayak Doubles, 10 kilometres",No Medal,No Medal,No Medal,Bronze
Netherlands,74171321,Netherlands,No Medal,"Equestrianism Men's Three-Day Event, Individual",Gold,Gold,Gold,No Medal
Netherlands,74318323,Netherlands,No Medal,Boxing Men's Light-Heavyweight,No Medal,Bronze,No Medal,No Medal
Netherlands,74171326,Netherlands,No Medal,"Cycling Men's Tandem Sprint, 2,000 metres",Bronze,Gold,No Medal,Silver
Netherlands,74318312,Netherlands,No Medal,Athletics Women's High Jump,No Medal,Silver,No Medal,No Medal
Netherlands,74318321,Netherlands,No Medal,Weightlifting Men's Light-Heavyweight,No Medal,Bronze,No Medal,No Medal
Netherlands,74318320,Netherlands,No Medal,Weightlifting Men's Middleweight,No Medal,Bronze,No Medal,No Medal
